grammar_error_sentence,corrected_sentence,spelling_error_sentences
අද පාසල් අවසානයේ නාට්‍යයක් පැවැත්විණි,අද පාසල් අවසානයේ නාට්‍යයක් පැවැත්විණි,අද පාසල් අවසානයේ නාට්‍යක් පැවැත්විණි
ඔහුගෙන් වටින අවශ්‍යතාවය ලබා ගත හැකිය,ඔහුගෙන් වටින අවශ්‍යතාවය ලබා ගත හැකිය,ඔහුගෙන් වටින අවශ්‍තාවය ලබා ගත හැකිය
අපි නගරයේ ප්‍රධාන මාර්ගය හරහා ගියෙම,අපි නගරයේ ප්‍රධාන මාර්ගය හරහා ගියෙමු,අපි නගරයේ ප්‍රධාන මාර්ගය හහා ගියෙමු
ඔවුන්ගේ ව්‍යාපෘතිය සාර්ථකය,ඔවුන්ගේ ව්‍යාපෘතිය සාර්ථකයි,ඔවුනගේ ව්‍යාපතිය සාර්ථකයි
මේ කාර්යය ඉතා සාර්ථක විය,මේ කාර්යය ඉතා සාර්ථක විය,මේ කාර්යය ඉත සාර්ථක විය
ඔවුන් නව ව්‍යාපාරයක් ආරම්භ කළෙමු,ඔවුන් නව ව්‍යාපාරයක් ආරම්භ කළහ,ඔවුන නව ව්‍යපාරයක් ආරම්භ කළහ
අපි ගඟේ අසල ගොවිපොළක් පැමිණෙමු,අපි ගඟේ අසල ගොවිපොළක් පැමිණෙමු,අපි ගඟේ අසල ගොවිපොළක් පැමිණෙමු
ඔහුගේ ගමන සාර්ථක විය,ඔහුගේ ගමන සාර්ථක විය,ඔහුගේ ගමන සාරථක විය
අපි පසුගිය මාසයේ ගමන් කළෙමිමි,අපි පසුගිය මාසයේ ගමන් කළෙමු,අපි පසුගිය මාසයේ ගමන් කළමු
ඔවුන්ගේ නායකත්වය සාර්ථකයි,ඔවුන්ගේ නායකත්වය සාර්ථකයි,ඔවුනගේ නායකතවය සාර්ථකයි
මම නව කාර්යයක් ආරම්භ කළෙමි,මම නව කාර්යයක් ආරම්භ කළෙමි,මම නව කාර්ක් ආරම්භ කළෙමි
ඔවුන්ගේ දායකත්වය සාර්ථකය,ඔවුන්ගේ දායකත්වය සාර්ථකයි,ඔවුනගේ දායකත්වය සාථකයි
අපි අලුත් මාර්ගයක ගමන් කළෙම,අපි අලුත් මාර්ගයක ගමන් කළෙමු,අපි අලත් මාර්ගයක ගමන් කළෙමු
ඔහුගේ වාර්තාව නිවැරදි වේ,ඔහුගේ වාර්තාව නිවැරදි වේ,ඔහුගේ වාර්තාව නවැරදි වේ
අපේ ගමනේදී ගැටළු කිසිවක් නොතිබුණි,අපේ ගමනේදී ගැටළු කිසිවක් නොතිබුණි,අපේ ගමනදී ගැළු කිසිවක් නොතිබුණි
ඔවුන් සාර්ථක ව්‍යාපාරයක් ගොඩනැගීය,ඔවුන් සාර්ථක ව්‍යාපාරයක් ගොඩනැගීය,ඔවුන සාර්ක ව්‍යාපාරයක් ගොඩනැගීය
මේ කාර්යය ඉතා සාර්ථක වි,මේ කාර්යය ඉතා සාර්ථක විය,මේ කාර්යය ඉතා සාර්ක විය
ඔහුගේ ජීවිතය සාර්ථකයි,ඔහුගේ ජීවිතය සාර්ථකයි,ඔහුගේ ජීතය සාර්ථකයි
අපි සතුටින් සිටියෙම,අපි සතුටින් සිටියෙමු,අපි සතුටින් සිටිමු
අපි යැවෙයි,අපි යැවෙමු,අපි යැෙමු
ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යනලදී,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යවයි,ඔබ සින්දු කිව්වොත් වාහන ගදර වේගයෙන් යවයි
ඔබ සින්දු කිව්වොත් අපි ගෙදර යනලදී,ඔබ සින්දු කිව්වොත් අපි ගෙදර යවමු,ඔබ සින්දු කි්වොත් අපි ගෙදර යවමු
වාහනය බත් කමින් ගෙදර යන්නෙමු,වාහනය බත් කමින් ගෙදර යන්නීය,වාහනය බත් මින් ගෙදර යන්නීය
ඔබ සින්දු කිව්වොත් නුබ වේගයෙන් යහුවා,ඔබ සින්දු කිව්වොත් නුබ වේගයෙන් යහිවා,ඔබ සන්දු කිව්වොත් නුබ වේගයෙන් යහිවා
මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙහිවා,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් ොතක් ගැනවේ
ඔබ සින්දු කිව්වොත් මම ඔහුට පොතක් දෙවෙහි,ඔබ සින්දු කිව්වොත් මම ඔහුට පොතක් දෙවෙමි,බ සින්දු කිව්වොත් මම ඔහුට පොතක් දෙවෙමි
මම නැටුම් නටද්දී නුබලා ගෙදර වේගයෙන් යත්වා,මම නැටුම් නටද්දී නුබ ගෙදර වේගයෙන් ගියෙහි,ම නැටුම් නටද්දී නුබ ගෙදර වේගයෙන් ගියෙහි
මම නැටුම් නටද්දී වාහනය ගෙදර වේගයෙන් යවති,මම නැටුම් නටද්දී වාහනය ගෙදර වේගයෙන් යයි,මම නැුම් නටද්දී වාහනය ගෙදර වේගයෙන් යයි
ලස්සන නුබලා ගෙදර යවන්නෝය,ලස්සන නුබලා ගෙදර යවන්නෙහු,ලස්සන නුබල ගෙදර යවන්නෙහු
ලස්සන වාහනය පොත බලා ගෙදර යහු,ලස්සන වාහනය පොත බලා ගෙදර යවයි,ලස්ස වාහනය පොත බලා ගෙදර යවයි
ලස්සන ළමයා ගෙදර ගියෙමු,ලස්සන ළමයා ගෙදර යවයි,ලස්සන ළයා ගෙදර යවයි
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගන්නීය,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,බ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ
නුබ යමු,නුබ යන්නෙහි,නුබ යන්ෙහි
ළමයි බත් කමින් ගෙදර යන්නෙහිවා,ළමයි බත් කමින් ගෙදර යති,ළමයි බත කමින් ගෙදර යති
මම නැටුම් නටද්දී නුබ ගෙදර යන්නෙමු,මම නැටුම් නටද්දී නුබ ගෙදර යන්න,මම නැටුම් නටද්ද නුබ ගෙදර යන්න
අපි ඔහුගෙන් පොතක් දුන්නෙහි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුෙන් පොතක් ගැනවේ
මම ඔහුගෙන් පොතක් ගන්හු,මම ඔහුගෙන් පොතක් ගන්වමි,මම ඔහුගෙන් පොතක ගන්වමි
මම නැටුම් නටද්දී මම වේගයෙන් යවන්නෙහු,මම නැටුම් නටද්දී මම වේගයෙන් යවන්නෙමි,මම නැටම් නටද්දී මම වේගයෙන් යවන්නෙමි
මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවෙති,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවෙයි,මම නැටුම් නද්දී වාහන ගෙදර වේගයෙන් යැවවෙයි
නුබලා ගෙදර වේගයෙන් යනු,නුබලා ගෙදර වේගයෙන් යනවාලා,නුබලා ගෙදර වේගයෙන් යනවාල
ළමයා වේගයෙන් යන්නෙමුවා,ළමයා වේගයෙන් යන්නීය,ළමයා වේගෙන් යන්නීය
මම බත් කමින් ගෙදර යහි,මම බත් කමින් ගෙදර යවමි,මම බ් කමින් ගෙදර යවමි
මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් දෙවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්ී වාහන ඔහුගෙන් පොතක් ගැනවේ
වාහන පොත බලා ගෙදර යමුවා,වාහන පොත බලා ගෙදර යන්නේය,වාහන පොත බලා ගෙර යන්නේය
මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් ගන්නේය,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
ඔබ සින්දු කිව්වොත් නුබ ගෙදර වේගයෙන් යමිවා,ඔබ සින්දු කිව්වොත් නුබ ගෙදර වේගයෙන් යන්නෙහිවා,ඔබ සින්දු කිව්වොත් නුබ ගෙදර වේගයන් යන්නෙහිවා
ළමයි ඔහුගෙන් පොතක් දීපන්,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුෙන් පොතක් ගැනවේ
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් ගන්නෝය,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,ම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යවන්නෙහු,මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යවන්නීය,මම නැටුම් නටද්දී ළමයා ගෙදර වගයෙන් යවන්නීය
ඔබ සින්දු කිව්වොත් වාහන වේගයෙන් යමුවා,ඔබ සින්දු කිව්වොත් වාහන වේගයෙන් යන්නේය,ඔබ සින්දු කිව්වත් වාහන වේගයෙන් යන්නේය
මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙමිවා,මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙන්නේය,ම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙන්නේය
මම නැටුම් නටද්දී ළමයි ඔහුගෙන් පොතක් දෙති,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී ාහන ඔහුගෙන් පොතක් ගැනවේ
මම නැටුම් නටද්දී වාහනය ගෙදර යති,මම නැටුම් නටද්දී ළමයි ගෙදර යැවවෙති,මම නටුම් නටද්දී ළමයි ගෙදර යැවවෙති
මම නැටුම් නටද්දී වාහනය ගෙදර යන්න,මම නැටුම් නටද්දී වාහනය ගෙදර යත්වා,මම නැටුම් නටද්දී වානය ගෙදර යත්වා
වාහනය ඔහුට පොතක් දෙන්නෙහිවා,වාහනය ඔහුට පොතක් දෙන්නීය,වාහය ඔහුට පොතක් දෙන්නීය
ඔබ සින්දු කිව්වොත් නුබලා වේගයෙන් යත්වා,ඔබ සින්දු කිව්වොත් නුබ වේගයෙන් ගියෙහි,ඔ සින්දු කිව්වොත් නුබ වේගයෙන් ගියෙහි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් ගත්තාය,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,ම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
වාහනය ගෙදර යැවෙමි,වාහනය ගෙදර යැවේ,වාහනය ෙදර යැවේ
ඔබ සින්දු කිව්වොත් නුබ ගෙදර වේගයෙන් යවමි,ඔබ සින්දු කිව්වොත් නුබ ගෙදර වේගයෙන් යවන්නෙහි,ඔබ සින්දු කිව්වොත් නුබ ගෙදර වේගයෙන් යවන්නෙි
මම බත් කමින් වේගයෙන් යන්නෙමුවා,මම බත් කමින් වේගයෙන් යන්නෙමිවා,මම බත කමින් වේගයෙන් යන්නෙමිවා
ඔබ සින්දු කිව්වොත් නුබ යැවේ,ඔබ සින්දු කිව්වොත් නුබ ගියෙහි,ඔබ සින්දු කව්වොත් නුබ ගියෙහි
ලස්සන ළමයි පොත බලා ගෙදර යහු,ලස්සන ළමයි පොත බලා ගෙදර යවන්නෝය,ලස්සන ළමයි පොත බලා ගෙර යවන්නෝය
වාහන පොත බලා වේගයෙන් යවන්නෙහු,වාහන පොත බලා වේගයෙන් යවන්නීය,වාහ පොත බලා වේගයෙන් යවන්නීය
මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෙමු,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,ම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ
වාහනය බත් කමින් ගෙදර යති,ළමයි බත් කමින් ගෙදර යැවවෙති,ළමයි බත් කින් ගෙදර යැවවෙති
මම ගෙදර වේගයෙන් යවයි,මම ගෙදර වේගයෙන් යවමි,මම ගෙදර වේගයෙන් යමි
මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෙමු,මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෙමි,මම නැටුම් නටද්දී ලසසන මම ගෙදර යවන්නෙමි
වාහනය ඔහුට පොතක් දෙවෙහි,වාහනය ඔහුට පොතක් දෙවේ,වාහනය ඔහුට පතක් දෙවේ
අපි පොත බලා වේගයෙන් යවන්නීය,අපි පොත බලා වේගයෙන් යමුවා,අපි පොත බලා වේගයෙන් මුවා
ඔබ සින්දු කිව්වොත් ළමයා වේගයෙන් යමු,ඔබ සින්දු කිව්වොත් ළමයා වේගයෙන් යන්නේය,ඔබ සින්දු කිව්වොත් ළමයා වේගයේ යන්නේය
නුබ ඔහුගෙන් පොතක් දෙහුවා,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොත් ගැනවේ
ඔබ සින්දු කිව්වොත් ලස්සන ළමයා ගෙදර යන්නෙමුවා,ඔබ සින්දු කිව්වොත් ලස්සන ළමයා ගෙදර යන්නීය,බ සින්දු කිව්වොත් ලස්සන ළමයා ගෙදර යන්නීය
ඔබ සින්දු කිව්වොත් මම යවු,ඔබ සින්දු කිව්වොත් මම යවමි,ඔබ සින්දු කිව්වොත් ම යවමි
මම නැටුම් නටද්දී ලස්සන වාහන ගෙදර යනලදී,මම නැටුම් නටද්දී ලස්සන වාහන ගෙදර යවයි,මම නැටුම් නටද්දී ලස්සන වාහන ගෙර යවයි
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්නෙහි,මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්නීය,මම නැටුම් නටද්දී වාහනය ඔහුගේ පොතක් ගන්නීය
ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙවති,ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙව,ඔබ සින්දු කිව්වොත් ුබ ඔහුට පොතක් දෙව
මම නැටුම් නටද්දී ළමයි වේගයෙන් යන්නීය,මම නැටුම් නටද්දී ළමයි වේගයෙන් යති,මම නැටුම් නටද්දී ළමයි වේයෙන් යති
නුබ බත් කමින් ගියේය,නුබ බත් කමින් ගියෙහි,නුබ බත් මින් ගියෙහි
මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් දෙයි,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහගෙන් පොතක් ගැනවේ
මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් ගියේය,මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් ගියෙමු,මම නැටුම් නටද්දී අි ගෙදර වේගයෙන් ගියෙමු
මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යන්නෙමුවා,මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යති,ම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යති
මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් යැවේ,මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් ගියෙමු,මම නැටුම් නද්දී අපි ගෙදර වේගයෙන් ගියෙමු
මම නැටුම් නටද්දී වාහනය වේගයෙන් යනලදී,මම නැටුම් නටද්දී වාහනය වේගයෙන් යවයි,මම නැටුම් නටද්දී වාහනය වේගෙන් යවයි
ළමයි ඔහුගෙන් පොතක් ගැනෙයි,ළමයි ඔහුගෙන් පොතක් ගත්තෝය,ළමි ඔහුගෙන් පොතක් ගත්තෝය
ළමයි බත් කමින් වේගයෙන් යන්නෙමිවා,ළමයි බත් කමින් වේගයෙන් යති,ළමයි ත් කමින් වේගයෙන් යති
මම යවන්නෙහු,මම යවන්නෙමි,මම යවනනෙමි
වාහනය පොත බලා වේගයෙන් යව,වාහනය පොත බලා වේගයෙන් යයි,වාහනය පොත බල වේගයෙන් යයි
ළමයි ඔහුට පොතක් දීපල්ලා,ළමයි ඔහුට පොතක් දෙන්නෝය,ළමයි ඔහුට පොතක් දෙන්නෝ
මම නැටුම් නටද්දී මම යැවෙමු,මම නැටුම් නටද්දී මම යැවෙමි,මම නැටුම් නටද්දී මම යැවෙම
මම නැටුම් නටද්දී ලස්සන අපි ගෙදර ගියේය,මම නැටුම් නටද්දී ලස්සන අපි ගෙදර ගියෙමු,මම නැටුම් නටද්දී ලස්සන අප ගෙදර ගියෙමු
වාහනය යන්නෙහි,වාහනය යන්නීය,වාහය යන්නීය
නුබලා බත් කමින් යැවේ,නුබලා බත් කමින් ගියෙහු,නුබලා බත කමින් ගියෙහු
නුබලා පොත බලා යනවා,නුබ පොත බලා ගියෙහි,නුබ පොත බලා ියෙහි
ළමයා ගෙදර ගියෝය,ළමයා ගෙදර ගියේය,ළමයා ගෙදර ගයේය
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවහි,මම ැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවහි
මම යැවවෙති,මම යැවෙමි,ම යැවෙමි
අපි පොත බලා යවන්නේය,අපි පොත බලා යවන්නෙමු,අපි පොත ලා යවන්නෙමු
මම නැටුම් නටද්දී වාහන යවමු,මම නැටුම් නටද්දී වාහන යවන්නේය,මම නැටුම් නටද්දී වහන යවන්නේය
ඔබ සින්දු කිව්වොත් ළමයා ගෙදර යනවා,ඔබ සින්දු කිව්වොත් ළමයා ගෙදර යත්වා,ඔබ සින්දු කිව්වොත් ළමයා ගෙර යත්වා
ඔබ සින්දු කිව්වොත් අපි ඔහුගෙන් පොතක් දෙවයි,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැවේ
ඔබ සින්දු කිව්වොත් ළමයා යවන්නෝය,ඔබ සින්දු කිව්වොත් ළමයා යවන්නේය,ඔබ සින්ු කිව්වොත් ළමයා යවන්නේය
ළමයි ගෙදර ගියෙමු,ළමයි ගෙදර යවන්නෝය,ළමයි ගෙද යවන්නෝය
මම පොත බලා ගෙදර යන්න,වාහන පොත බලා යැවවේ,වාහ පොත බලා යැවවේ
අපි පොත බලා ගෙදර යති,මම පොත බලා ගෙදර යැවෙමි,මම පොත බා ගෙදර යැවෙමි
නුබලා පොත බලා යවමි,නුබලා පොත බලා යවන්නෙහු,නුබලා පොත බා යවන්නෙහු
නුබ පොත බලා ගෙදර වේගයෙන් යැවෙති,නුබ පොත බලා ගෙදර වේගයෙන් ගියෙහි,නුබ පොත බලා ගෙදර වේගයෙන් ගියහි
ලස්සන ළමයා පොත බලා ගෙදර යහිවා,ලස්සන ළමයා පොත බලා ගෙදර යවයි,ලස්සන ළමයා පොත ලා ගෙදර යවයි
මම නැටුම් නටද්දී නුබලා ගෙදර යති,මම නැටුම් නටද්දී නුබ ගෙදර ගියෙහි,මම නැටුම් නටද්දී නු ගෙදර ගියෙහි
ලස්සන නුබලා ගෙදර යැවවෙයි,ලස්සන නුබලා ගෙදර යැවෙහු,ලස්සන නුබලා ෙදර යැවෙහු
ළමයි පොත බලා ගෙදර වේගයෙන් යමි,ළමයි පොත බලා ගෙදර වේගයෙන් යන්නෝය,ළමයි පොත බලා ගෙදර වේගයෙන් යනනෝය
ලස්සන වාහන ගෙදර යවමි,ලස්සන වාහන ගෙදර යවන්නේය,ල්සන වාහන ගෙදර යවන්නේය
ඔබ සින්දු කිව්වොත් වාහනය ගෙදර යැවෙති,ඔබ සින්දු කිව්වොත් වාහනය ගෙදර යැවෙයි,ඔබ සින්දු කිව්වත් වාහනය ගෙදර යැවෙයි
අපි ගෙදර වේගයෙන් යවන්නෙහු,අපි ගෙදර වේගයෙන් යවන්නෙමු,අපි ෙදර වේගයෙන් යවන්නෙමු
මම නැටුම් නටද්දී ළමයා ඔහුගෙන් පොතක් ගන්නවා,මම නැටුම් නටද්දී ළමයා ඔහුගෙන් පොතක් ගනිත්වා,මම නැටුම් නටද්දී ළමය ඔහුගෙන් පොතක් ගනිත්වා
මම නැටුම් නටද්දී නුබ ගෙදර වේගයෙන් ගියෙමි,මම නැටුම් නටද්දී නුබ ගෙදර වේගයෙන් යහිවා,ම නැටුම් නටද්දී නුබ ගෙදර වේගයෙන් යහිවා
මම ඔහුගෙන් පොතක් දෙවමි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහ ඔහුගෙන් පොතක් ගැනවේ
වාහනය බත් කමින් ගෙදර යනු,වාහනය බත් කමින් ගෙදර යත්වා,වාහනය බත් කමින් ගෙදර යතවා
වාහනය බත් කමින් ගෙදර වේගයෙන් යැවවෙති,වාහනය බත් කමින් ගෙදර වේගයෙන් යැවවෙයි,වාහනය ත් කමින් ගෙදර වේගයෙන් යැවවෙයි
නුබලා ඔහුට පොතක් දෙවන්නේය,නුබලා ඔහුට පොතක් දෙවන්නෙහු,නුබලා ඔහට පොතක් දෙවන්නෙහු
ඔබ සින්දු කිව්වොත් මම ගෙදර යවති,ඔබ සින්දු කිව්වොත් මම ගෙදර යමිවා,ඔබ සින්දු කි්වොත් මම ගෙදර යමිවා
ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙවෙති,ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දුන්නෙහි,ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දුන්නෙි
ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් දෙවමු,ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් දෙවන්නේය,ඔබ සන්දු කිව්වොත් ළමයා ඔහුට පොතක් දෙවන්නේය
මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් යැවවෙයි,මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් යැවෙමු,මම නැටුම් නද්දී අපි ගෙදර වේගයෙන් යැවෙමු
වාහනය බත් කමින් ගෙදර යනවාලා,වාහනය බත් කමින් ගෙදර යත්වා,වහනය බත් කමින් ගෙදර යත්වා
ලස්සන ළමයි පොත බලා ගෙදර යවන්නෙහි,ලස්සන ළමයි පොත බලා ගෙදර යවති,ලස්න ළමයි පොත බලා ගෙදර යවති
ඔබ සින්දු කිව්වොත් ළමයි ගෙදර යහුවා,ඔබ සින්දු කිව්වොත් ළමයි ගෙදර යවන්නෝය,ඔබ සින්දු කිව්වොත් ළමයි ෙදර යවන්නෝය
ළමයා බත් කමින් යන්න,ළමයා බත් කමින් යත්වා,ළමයා බත් කමින් යත්ා
ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් ගන්නෙමු,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිවවොත් වාහන ගෙදර වේගයෙන් යැවවේ
ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් ගන්හිවා,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු ිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ
